word,count
1.8f912f17.1553082851.1e6b2dc0,1
1.97,1
10-13,2
10-of-15,1
10.,17
10.1,7
10.8,5
10.9.,1
100.6,1
101.4,3
"102,",2
102-101,3
102-95,2
102.2,1
102.9,4
103.7,1
"103.7,",1
104.5,2
105,6
105.3,2
106-103.,1
106.1,2
106.8,1
107-102,4
107.6,1
107 (april,1
109.2,1
109.9,1
10:01,2
10:08,5
10:15,4
10:22,5
10:29,2
10:36,1
10:43,3
10:50,2
10th straight,1
11%.,1
11-14,1
11-foot,1
11.6,1
11.7.,1
110-89,1
110.0,1
110.7,2
111.5,1
112,5
112-103,1
112-110,1
113-106,1
113-92,2
113.8,1
114-102,3
114-109,4
114.6,2
115-112,1
116-101,2
116-108,3
116-88,1
117-104,1
117-111,1
119,2
119-70.,1
11:02,1
11:09,1
11:16,2
11:23,3
11:30,3
11:37,1
11:44,3
11:51,1
11:58,3
12-0,5
12-15,1
"12-day,",2
12-for-46,1
12-time,1
12-to,1
12.4,6
120.8,1
121-116,2
124-111,2
125-121,2
126,3
12:03,4
12:10,1
12:17,5
12:24,3
12:31,1
12:38,2
12:39am,1
12:45,1
12:52,1
12:59,2
"13,",59
"13-for-20,",1
13-man,1
13-of-21,2
13.2,2
13.9,3
130-122,1
130-88,1
135-102,1
135-130,2
13 against,1
13 assist,1
14),3
14-3,2
14-for-20,1
14-game,2
14-of-57,1
14-year-old,3
14.0,4
14.7,4
140,2
140-131,1
140-138,1
147,1
14th,6
15-11,1
15-25%.,1
15-year,13
15.5,7
15. ,1
"151,765",1
154,1
15;,2
15       ,2
16,96
"16-rebound,",1
16.3,9
16. mile,1
168,1
17-27,1
17-34,1
17-4,2
17.,10
17.1,5
17.8,5
175,1
17       ,6
18-for-28,1
18.6,10
182,1
19-for-35,1
19.4,5
1946;,2
1947,1
"1951,",1
1954,1
1954-64,2
1959. hi,1
196,1
"1960s,",2
"1961-62,",2
"1962-63,",1
1962.,4
1968,4
1969.,2
"1973-74),",2
1974-79.,1
1975,1
1976.,2
1980-81. ,1
1980s.,2
1982,2
1983.,3
"1986,",3
"1986-87),",2
1989,3
"1990, michael",1
"1990-91,",1
1990-93,1
1990.,1
"1993,",2
1994),1
"1994-95,",2
1996,23
1996-97).,1
"1996-97,",1
1997.,7
19       ,1
1:03,2
1:04.,1
1:17,1
1:24,3
1:31,1
1:38,2
1:45,3
1:52,2
1:59,2
1: lebron,1
1st),1
"2),",2
"2,",59
"2,251",1
2-5,2
2-for-6,1
"2-for-7),",1
2.00,1
2.2,10
2.9,14
"20,",44
20-30,1
20-62.,1
20-assist,2
20-home-run,1
20.2,6
20.9,1
"200,",1
"2000,",8
2000-2003),1
"2001),",1
2003,15
"2004-2009,",1
2004.,16
2004. ,1
2006-2013.,1
2007).,1
"2007,",14
"2007-2011,",1
2008),3
"2008),",1
2009-10).,1
2009-10. ,1
2010,24
2010?,2
"2011-13,",1
2011.,18
2011. ,3
2012-13 did,1
2014).,1
"2014,",27
2014-15).,1
2014-2016,1
2015),1
2015-16).,2
2016-17).,1
2017,581
"2017, reed",1
2017-18).,3
2018.,31
2018. ,1
2018–19,1
"2021,",1
2023–24,1
2025.,1
21),3
21-year,1
21.0,3
210,3
"22,000",1
22-60,2
22.5,3
22. chicago,1
224,1
23,79
23.3,7
231,3
"235,",1
238,1
24.,5
