word,count
"<coach,adults.>",1

"<coach,advantage,>",5

"<coach,advis>",18

"<coach,afternoon.>",4

"<coach,against.>",6

"<coach,against>",16

"<coach,age,>",2

"<coach,agency.>",4

"<coach,agent,>",14

"<coach,agent>",6

"<coach,agents,>",5

"<coach,aggressive.>",7

"<coach,ahead>",39

"<coach,ail>",5

"<coach,air-bal>",2

"<coach,ala.>",12

"<coach,alabama,>",37

"<coach,alert>",2

"<coach,all-america>",9

"<coach,all-big>",10

"<coach,all-tim>",4

"<coach,all-time,>",4

"<coach,alone,>",9

"<coach,also>",333

"<coach,although>",6

"<coach,amar>",2

"<coach,amass>",5

"<coach,amazing,>",7

"<coach,anaheim,>",40

"<coach,and>",290

"<coach,anferne>",14

"<coach,angl>",1

"<coach,angry,>",3

"<coach,anim>",15

"<coach,answer.>",2

"<coach,anthem>",18

"<coach,antonio'>",2

"<coach,antonio.>",19

"<coach,anybody.>",10

"<coach,anyway,>",1

"<coach,appar>",8

"<coach,appeal>",10

"<coach,appreci>",46

"<coach,approach,>",2

"<coach,arcs.>",1

"<coach,argentinian>",3

"<coach,ariza,>",1

"<coach,ariza>",4

"<coach,arm>",2

"<coach,art>",14

"<coach,ascend>",10

"<coach,aside,>",1

"<coach,ask,>",3

"<coach,aspir>",3

"<coach,assess>",6

"<coach,assignment,>",3

"<coach,assists,>",40

"<coach,assur>",7

"<coach,at&t>",4

"<coach,at-larg>",8

"<coach,atlanta'>",3

"<coach,atlanta.>",3

"<coach,attempts,>",2

"<coach,auburn,>",22

"<coach,auburn>",264

"<coach,australian>",3

"<coach,avenatti'>",10

"<coach,aveng>",3

"<coach,averag>",193

"<coach,average.>",10

"<coach,averi>",24

"<coach,award,>",5

"<coach,award>",3

"<coach,away,>",6

"<coach,awe>",7

"<coach,azubuik>",2

"<coach,b>",4

"<coach,backbreak>",3

"<coach,bad.>",3

"<coach,bader>",8

"<coach,bagley>",30

"<coach,bail>",2

"<coach,baird>",8

"<coach,bam>",2

"<coach,band>",4

"<coach,bank>",21

"<coach,bar.>",14

"<coach,barrage,>",3

"<coach,basket.>",33

"<coach,bat>",9

"<coach,baylor,>",9

"<coach,been-there,>",4

"<coach,began>",22

"<coach,begun.>",2

"<coach,beilein>",40

"<coach,bell'>",1

"<coach,bell.>",1

"<coach,bench,>",19

"<coach,bench>",152

"<coach,benefit>",9

"<coach,benefited,>",14

"<coach,benford>",29

"<coach,bennett,>",9

"<coach,berat>",17

"<coach,berni>",14

"<coach,berths.>",5

"<coach,beset>",2

"<coach,bid,>",5

"<coach,big-tim>",5

"<coach,bigger,>",5

"<coach,bigs.>",4

"<coach,birthday>",3

"<coach,blackmail>",14

"<coach,blew>",4

"<coach,bliss,>",14

"<coach,bliss>",14

"<coach,blocker>",1

"<coach,blocks,>",6

"<coach,blowout.>",3

"<coach,blueblood>",2

"<coach,bogut,>",4

"<coach,bogut>",14

"<coach,boilermakers'>",2

"<coach,bond>",16

"<coach,book.>",1

"<coach,booster>",14

"<coach,borrego>",13

"<coach,bother>",12

"<coach,bottom-of-the-east-rac>",4

"<coach,bottom>",25

"<coach,bowl>",4

"<coach,boy.>",6

"<coach,boys,>",2

"<coach,brace>",8

"<coach,bradi>",9

"<coach,brand.>",15

"<coach,braves,>",2

"<coach,brawl.>",3

"<coach,brazen>",5

"<coach,breez>",2

"<coach,bridg>",17

"<coach,briefli>",6

"<coach,broadcaster,>",1

"<coach,brook>",31

"<coach,brooklyn,>",13

"<coach,brooklyn>",84

