Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2014,40,6.370177397,6.23541,6.63414,48366,3075,6
2014,41,6.381685575,6.32322,6.72176,49360,3142,8
2014,42,6.291888379,6.42025,6.81859,49238,3085,13
2014,43,6.547655438,6.52503,6.92318,49071,3202,11
2014,44,6.470504214,6.63602,7.03397,49007,3154,17
2014,45,6.305706282,6.75156,7.14932,51049,3208,11
2014,46,6.445103858,6.86994,7.2675,50550,3240,18
2014,47,6.493061504,6.98939,7.38676,52533,3380,31
2014,48,6.68067713,7.10817,7.50534,51866,3419,46
2014,49,7.020171381,7.2245,7.62147,52748,3620,83
2014,50,7.383202002,7.33666,7.73344,53554,3785,169
2014,51,8.07366995,7.44301,7.83959,54622,4098,312
2014,52,8.524309274,7.54196,7.93834,56028,4264,512
2014,53,10.1910828,7.63206,8.02824,59346,5034,1014
2015,1,10.81133603,7.71197,8.10795,61750,5576,1100
2015,2,10.74681537,7.7805,8.17628,61153,5589,983
2015,3,10.05235066,7.83664,8.23221,58643,5184,711
2015,4,9.500453816,7.87954,8.27491,57292,4857,586
2015,5,9.10707437,7.90856,8.30373,57362,4740,484
2015,6,8.80847308,7.92325,8.31822,56650,4585,405
2015,7,8.445534596,7.92338,8.31814,56669,4501,285
2015,8,8.48601051,7.90891,8.30347,56328,4559,221
2015,9,8.382004177,7.88004,8.2744,56502,4546,190
2015,10,8.262757482,7.83716,8.23131,55732,4446,159
2015,11,7.960701497,7.78086,8.1748,54455,4196,139
2015,12,7.533707865,7.71192,8.10566,53400,3902,121
2015,13,7.410331604,7.63133,8.02486,53196,3843,99
2015,14,7.453674787,7.54022,7.93354,52833,3838,100
2015,15,7.565870359,7.43988,7.83299,52869,3925,75
2015,16,7.497820401,7.33173,7.72462,51615,3807,63
2015,17,7.19156128,7.21731,7.60998,51477,3652,50
2015,18,6.922972738,7.09822,7.49069,51683,3550,28
2015,19,6.896075725,6.97618,7.36842,50710,3475,22
2015,20,6.588911837,6.85289,7.24492,49386,3240,14
2015,21,6.803499057,6.73011,7.12192,49842,3373,18
2015,22,6.512647692,6.60957,7.00116,49258,3198,10
2015,23,6.475253489,6.49296,6.88433,49805,3214,11
2015,24,6.426128034,6.38194,6.77309,49112,3150,6
2015,25,6.52563789,6.27806,6.66898,49068,3198,4
2015,26,6.332507413,6.18276,6.57346,49238,3112,6
2015,27,6.308993585,6.09738,6.48785,48946,3081,7
2015,28,6.170057254,6.02309,6.41334,49254,3032,7
2015,29,6.191670435,5.96092,6.35094,48646,3009,3
2015,30,5.998192944,5.9117,6.30148,48698,2917,4
2015,31,6.110156687,5.87608,6.26563,48313,2948,4
2015,32,5.914580999,5.85451,6.24383,48186,2842,8
2015,33,6.068922823,5.84725,6.23634,48460,2935,6
2015,34,6.000206122,5.85434,6.24318,48515,2906,5
2015,35,6.038478894,5.8756,6.26421,48754,2941,3
2015,36,6.048312742,5.91066,6.29903,48807,2949,3
2015,37,6.165376682,5.95895,6.34708,48967,3013,6
2015,38,6.205245755,6.01971,6.40759,49297,3051,8
2015,39,6.272119142,6.09198,6.47962,48883,3060,6
2015,40,6.302356533,6.17466,6.56206,51092,3206,14
2015,41,6.299716193,6.26649,6.65364,50034,3145,7
2015,42,6.368188513,6.36607,6.75297,50925,3227,16
2015,43,6.313516512,6.47191,6.85855,50479,3170,17
2015,44,6.595145973,6.5824,6.96879,51174,3355,20
2015,45,6.388680881,6.69589,7.08203,50746,3228,14
2015,46,6.504535804,6.81068,7.19657,51810,3357,13
2015,47,6.507933425,6.92506,7.31069,51491,3337,14
2015,48,6.689971765,7.03731,7.42268,52063,3461,22
2015,49,6.617920667,7.14576,7.53087,53748,3537,20
2015,50,6.71169189,7.24878,7.63363,52267,3482,26
2015,51,6.672430644,7.34485,7.72944,53204,3535,15
2015,52,7.518725524,7.43252,7.81684,52602,3924,31
2016,1,7.658972476,7.51048,7.89454,55843,4245,32
2016,2,7.760404484,7.57756,7.96135,55577,4283,30
2016,3,7.396004998,7.63275,8.01628,55219,4048,36
2016,4,7.484325315,7.67521,8.05847,55663,4116,50
2016,5,7.521401625,7.70428,8.08727,55136,4086,61
2016,6,7.362328248,7.71952,8.10224,55458,3990,93
2016,7,7.477567298,7.72065,8.1031,56168,4051,149
2016,8,8.005724845,7.70763,8.08981,55198,4232,187
2016,9,8.059728183,7.68062,8.06252,55920,4250,257
2016,10,8.148596235,7.63995,8.02158,56206,4286,294
2016,11,8.253485518,7.58619,7.96754,54583,4154,351
2016,12,8.190410159,7.52007,7.90115,54808,4194,295
2016,13,7.745930513,7.44252,7.82332,53938,3896,282
2016,14,7.758891745,7.3546,7.73512,54067,3945,250
2016,15,7.640680501,7.25756,7.6378,53490,3891,196
2016,16,7.209919284,7.15275,7.53271,53149,3684,148
2016,17,6.908107473,7.04164,7.42132,51027,3398,127
2016,18,6.814901502,6.92579,7.30518,51270,3403,91
2016,19,6.498039216,6.80683,7.18593,51000,3240,74
2016,20,6.586221245,6.68641,7.06524,50469,3290,34
2016,21,6.393345217,6.56624,6.94477,50490,3198,30
2016,22,6.119246862,6.44798,6.82623,49712,3025,17
2016,23,6.394615061,6.33329,6.71125,49917,3175,17
2016,24,5.886595873,6.22375,6.60142,49910,2920,18
2016,25,5.817866715,6.12089,6.49828,49623,2875,12
2016,26,5.877859526,6.02613,6.40322,49746,2914,10
2016,27,5.883536561,5.94075,6.31756,49698,2914,10
2016,28,5.906883978,5.86593,6.24244,49637,2926,6
2016,29,5.625456612,5.80266,6.17888,49276,2767,5
2016,30,5.652138919,5.75179,6.12771,49698,2804,5
2016,31,5.754857997,5.71396,6.08959,49506,2847,2
2016,32,5.687461048,5.68964,6.06497,49741,2827,2
2016,33,5.764018551,5.67909,6.05413,49809,2866,5
2016,34,5.721845209,5.68239,6.05713,49512,2827,6
2016,35,5.796809133,5.6994,6.07385,49579,2869,5
2016,36,5.762779553,5.7298,6.10394,50080,2881,5
2016,37,6.211565811,5.77304,6.14689,49923,3093,8
2016,38,6.066438123,5.82843,6.20197,49881,3017,9
2016,39,5.961595861,5.89507,6.26832,50255,2985,11
2016,40,5.913936659,5.97192,6.34486,51404,3022,18
2016,41,6.14640884,6.05778,6.43043,52128,3193,11
2016,42,6.191559262,6.15133,6.52368,51441,3178,7
2016,43,6.067675697,6.25114,6.62319,51865,3130,17
2016,44,6.022070618,6.35569,6.72743,51743,3100,16
