Date,Open,High,Low,Close,Adj Close,Volume
2019-02-05,418.119995,419.140015,414.049988,417.559998,417.559998,523400
2019-02-06,418.440002,420.779999,415.070007,416.390015,416.390015,424600
2019-02-07,414.350006,417.880005,410.010010,415.010010,415.010010,469400
2019-02-08,412.149994,414.049988,406.130005,411.760010,411.760010,567000
2019-02-11,413.750000,414.869995,411.000000,412.700012,412.700012,595600
2019-02-12,416.190002,425.750000,415.429993,425.510010,425.510010,617300
2019-02-13,426.700012,433.750000,426.100006,427.450012,427.450012,803500
2019-02-14,424.410004,425.269989,417.950012,423.380005,423.380005,542500
2019-02-15,425.190002,432.630005,425.190002,431.950012,431.950012,600300
2019-02-19,428.429993,433.000000,428.170013,431.070007,431.070007,438000
2019-02-20,431.779999,437.489990,429.769989,437.220001,437.220001,563300
2019-02-21,436.600006,437.589996,432.850006,435.019989,435.019989,451800
2019-02-22,435.519989,436.950012,433.450012,436.720001,436.720001,400300
2019-02-25,439.279999,444.799988,438.040009,438.929993,438.929993,516300
2019-02-26,437.670013,443.010010,435.690002,440.529999,440.529999,472000
2019-02-27,440.170013,444.700012,438.880005,442.010010,442.010010,461100
2019-02-28,442.010010,444.720001,440.390015,443.220001,443.220001,512100
2019-03-01,447.559998,451.920013,442.100006,443.769989,443.769989,657200
2019-03-04,445.890015,447.000000,434.059998,437.329987,437.329987,686100
