Date,Open,High,Low,Close,Adj Close,Volume
2019-02-05,91.910004,92.349998,91.360001,92.269997,92.269997,5591300
2019-02-06,90.800003,92.290001,90.190002,92.250000,92.250000,5939400
2019-02-07,91.110001,91.709999,90.010002,90.849998,90.849998,7283800
2019-02-08,90.019997,91.910004,90.000000,91.870003,91.870003,7642100
2019-02-11,92.250000,93.750000,92.150002,92.690002,92.690002,6455900
2019-02-12,93.440002,94.510002,93.199997,94.379997,94.379997,7497000
2019-02-13,94.589996,96.040001,93.844002,94.010002,94.010002,8577900
2019-02-14,93.650002,94.989998,93.099998,94.419998,94.419998,6579200
2019-02-15,95.000000,95.430000,94.449997,94.910004,94.910004,6080200
2019-02-19,94.449997,95.300003,94.059998,95.019997,95.019997,8092400
2019-02-20,95.000000,95.720001,93.980003,94.730003,94.730003,8154100
2019-02-21,94.720001,95.510002,94.330002,94.959999,94.959999,6410000
2019-02-22,95.239998,96.000000,95.070000,95.980003,95.980003,4898000
2019-02-25,96.070000,97.304001,96.000000,96.699997,96.699997,7470700
2019-02-26,96.339996,96.820000,95.529999,96.589996,96.589996,5906400
2019-02-27,96.110001,98.040001,95.930000,97.860001,97.860001,5565400
2019-02-28,97.660004,98.525002,97.080002,98.070000,98.070000,6151800
2019-03-01,98.919998,99.449997,98.339996,98.800003,98.800003,5434000
2019-03-04,98.029999,98.500000,95.339996,96.570000,96.570000,7855772
