Name,G
(8),1
"(8-12,",5
(8-14).,1
(8-15),1
"(8-15,",6
"(8-18,",5
(8-20).,1
"(8-21,",1
(8-3),4
"(8-3,",1
"(8-4),",2
(8-5).,1
(8-6),2
"(8-6,",5
(8.4,1
(8.4).,1
(8.7).,1
(88.6),1
"(9-11,",3
"(9-14,",9
"(9-15),",1
"(9-17,",4
"(9-20,",3
"(9-21),",1
(9-23),1
"(9-3),",3
(9-5),2
"(9-5,",4
"(9-8,",1
(9.9).,1
(91.1%).,1
(I,3
(a,7
(about),1
(against),2
(age,1
(and,11
(ap),795
"(arizona,",1
(arizona’,1
(ask,2
(aspsa),1
(away),2
(be,1
(befor,1
(but,1
(calif.),1
(center),1
(chinanu,1
(conn.),1
(crean),1
(duke),1
"(duke,",1
(dunham),1
"(e.g.,",1
(feel,1
(feeling),1
"(fifth),",1
(fourth,1
(from,3
(game),2
(graham),1
(green,1
(he,6
"(hence,",1
(he’,2
(high-ankl,1
(home),1
"(illinois,",1
(in),2
"(indiana,",1
(investig,1
(it),1
(jackson,1
(kam,1
(kentucky),1
(kiss,1
(koch,1
(last,2
(left,2
(left).,1
(loss),2
(malikabu),1
"(maranatha),",1
(march,1
(mark,1
(mckay),1
(md),1
(miller),1
"(montana,",1
(n.y.),1
(ninth).,1
(now,3
(nr),2
(ohio),4
(pa),1
(pitt),1
(previou,1
(prior,1
(quick,7
(replacements),1
(ron),1
(roy,1
"(saturday),",1
"(see,",1
(seven),1
(seventh),1
(shooting),2
(shot),1
(so,2
(stall,1
(stephen,1
(stress,1
"(sunday),",1
(tekele),1
(that,1
(they,2
(thing,1
(this),1
(those,8
(time),1
(to),1
(today),1
"(tournament),",1
(two,1
(ucla,1
(up,1
(vanvleet),1
(visit,1
(wake,1
(watkins),1
"(wednesday),",1
(wessel),1
(west,6
(what,1
(who,3
(yale).,1
-- 81,1
-- wa,1
-daugherty’,1
-friday—who,1
-jumper—hi,1
-kansa,1
-special-admit,1
